,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
66,2022-06-07 22:57:06.830000+00:00,2022-06-07 23:10:13.869000+00:00,47..6665336,-117..4005560,47..6747833,-117..3909575,2341,IN_PASSENGER_VEHICLE,HIGH
67,2022-06-08 16:52:45.725000+00:00,2022-06-08 16:59:31.640000+00:00,47..6747777,-117..3909099,47..6672970,-117..4003923,1534,IN_PASSENGER_VEHICLE,HIGH
68,2022-06-08 22:58:03.327000+00:00,2022-06-08 23:11:12+00:00,47..6665439,-117..4006169,47..6930261,-117..4103417,3809,IN_PASSENGER_VEHICLE,HIGH
69,2022-06-08 23:28:53+00:00,2022-06-08 23:32:51+00:00,47..6931325,-117..4102500,47..7104633,-117..4103687,1953,IN_PASSENGER_VEHICLE,HIGH
70,2022-06-08 23:47:25+00:00,2022-06-08 23:58:34.966000+00:00,47..7113121,-117..4101076,47..6747295,-117..3908964,5369,IN_PASSENGER_VEHICLE,HIGH
71,2022-06-09 15:04:30+00:00,2022-06-09 15:13:39+00:00,47..6747922,-117..3934632,47..6572631,-117..4196620,3776,IN_PASSENGER_VEHICLE,HIGH
72,2022-06-09 17:13:09.717000+00:00,2022-06-09 17:17:24.070000+00:00,47..6589575,-117..4220313,47..6593835,-117..4183507,285,WALKING,HIGH
73,2022-06-09 17:36:09.862000+00:00,2022-06-09 17:42:05.931000+00:00,47..6592408,-117..4182864,47..6598998,-117..4167884,443,WALKING,HIGH
74,2022-06-09 18:03:53.623000+00:00,2022-06-09 18:21:30+00:00,47..6594557,-117..4181315,47..6580107,-117..4206418,596,WALKING,MEDIUM
75,2022-06-09 18:21:30+00:00,2022-06-09 18:34:16.102000+00:00,47..6580107,-117..4206418,47..6748062,-117..3910044,4951,IN_PASSENGER_VEHICLE,HIGH
76,2022-06-09 19:44:38+00:00,2022-06-09 19:52:10.597000+00:00,47..6747905,-117..3927480,47..6580877,-117..4193938,3364,IN_PASSENGER_VEHICLE,HIGH
77,2022-06-09 20:36:04.842000+00:00,2022-06-09 20:38:05.849000+00:00,47..6586073,-117..4211756,47..6592258,-117..4220467,110,WALKING,HIGH
78,2022-06-09 21:29:40.670000+00:00,2022-06-09 21:32:42.397000+00:00,47..6584952,-117..4236493,47..6574722,-117..4219882,201,WALKING,HIGH
79,2022-06-09 21:38:32+00:00,2022-06-09 21:41:42+00:00,47..6579238,-117..4199213,47..6647915,-117..4150197,1104,IN_PASSENGER_VEHICLE,HIGH
